Date,Close,return,bucket,bucket_-2.0,bucket_-1.0,bucket_1.0,bucket_2.0,up_binary
2020-12-31,3756.07,,,False,False,False,False,0
2021-01-31,3714.24,-0.011136640158463607,-2.0,True,False,False,False,0
2021-02-28,3811.15,0.026091474971999817,2.0,False,False,False,True,1
2021-03-31,3972.89,0.04243863400810777,2.0,False,False,False,True,1
2021-04-30,4181.17,0.05242531255584737,2.0,False,False,False,True,1
2021-05-31,4204.11,0.005486502581813157,1.0,False,False,True,False,1
2021-06-30,4297.5,0.02221397632316946,2.0,False,False,False,True,1
2021-07-31,4395.26,0.02274810936591054,2.0,False,False,False,True,1
2021-08-31,4522.68,0.028990321391681118,2.0,False,False,False,True,1
2021-09-30,4307.54,-0.047569140421166334,-2.0,True,False,False,False,0
2021-10-31,4605.38,0.06914387330123462,2.0,False,False,False,True,1
2021-11-30,4567.0,-0.00833373141847149,-1.0,False,True,False,False,0
2021-12-31,4766.18,0.04361287497262989,2.0,False,False,False,True,1
2022-01-31,4515.55,-0.05258508910699977,-2.0,True,False,False,False,0
2022-02-28,4373.94,-0.03136052086678265,-2.0,True,False,False,False,0
2022-03-31,4530.41,0.03577323877328009,2.0,False,False,False,True,1
2022-04-30,4131.93,-0.08795671914903935,-2.0,True,False,False,False,0
2022-05-31,4132.15,5.324388360872234e-05,1.0,False,False,True,False,1
2022-06-30,3785.38,-0.08391999322386645,-2.0,True,False,False,False,0
2022-07-31,4130.29,0.09111634763220589,2.0,False,False,False,True,1
2022-08-31,3955.0,-0.04244011921681046,-2.0,True,False,False,False,0
2022-09-30,3585.62,-0.09339570164348932,-2.0,True,False,False,False,0
2022-10-31,3871.98,0.07986345457689326,2.0,False,False,False,True,1
2022-11-30,4080.11,0.053752860293699856,2.0,False,False,False,True,1
2022-12-31,3839.5,-0.058971449299161094,-2.0,True,False,False,False,0
2023-01-31,4076.6,0.06175283240005203,2.0,False,False,False,True,1
2023-02-28,3970.15,-0.026112446646715304,-2.0,True,False,False,False,0
2023-03-31,4109.31,0.03505157235872702,2.0,False,False,False,True,1
2023-04-30,4169.48,0.01464236088297044,2.0,False,False,False,True,1
2023-05-31,4179.83,0.002482323934879238,1.0,False,False,True,False,1
2023-06-30,4450.38,0.0647275128414313,2.0,False,False,False,True,1
2023-07-31,4588.96,0.031138913980379268,2.0,False,False,False,True,1
2023-08-31,4507.66,-0.01771643248143373,-2.0,True,False,False,False,0
2023-09-30,4288.05,-0.04871929116215501,-2.0,True,False,False,False,0
2023-10-31,4193.8,-0.021979687736850106,-2.0,True,False,False,False,0
2023-11-30,4567.8,0.08917926462873771,2.0,False,False,False,True,1
2023-12-31,4769.83,0.04422916940321375,2.0,False,False,False,True,1
2024-01-31,4845.65,0.015895744712075555,2.0,False,False,False,True,1
2024-02-29,5096.27,0.05172061539731532,2.0,False,False,False,True,1
2024-03-31,5254.35,0.031018764704381807,2.0,False,False,False,True,1
2024-04-30,5035.69,-0.04161504277408257,-2.0,True,False,False,False,0
2024-05-31,5277.51,0.04802122449952262,2.0,False,False,False,True,1
2024-06-30,5460.48,0.034669759034089864,2.0,False,False,False,True,1
2024-07-31,5522.3,0.011321349038912354,2.0,False,False,False,True,1
2024-08-31,5648.4,0.022834688445031892,2.0,False,False,False,True,1
2024-09-30,5762.48,0.020196869910062976,2.0,False,False,False,True,1
2024-10-31,5705.45,-0.009896780552817508,-1.0,False,True,False,False,0
2024-11-30,6032.38,0.057301352215863854,2.0,False,False,False,True,1
2024-12-31,5881.63,-0.024990136563014964,-2.0,True,False,False,False,0
2025-01-31,6040.53,0.027016320305765618,2.0,False,False,False,True,1
2025-02-28,5954.5,-0.014242127760312417,-2.0,True,False,False,False,0
2025-03-31,5611.85,-0.05754471408178685,-2.0,True,False,False,False,0
2025-04-30,5569.06,-0.007624936518260461,-1.0,False,True,False,False,0
2025-05-31,5911.69,0.06152384783069298,2.0,False,False,False,True,1
2025-06-30,6204.95,0.04960679602617879,2.0,False,False,False,True,1
2025-07-31,6339.39,0.021666572655702376,2.0,False,False,False,True,1
2025-08-31,6460.26,0.01906650324400294,2.0,False,False,False,True,1
2025-09-30,6688.46,0.03532365570425955,2.0,False,False,False,True,1
2025-10-31,6840.2,0.022686836730727133,2.0,False,False,False,True,1
2025-11-30,6849.09,0.001299669600304032,1.0,False,False,True,False,1
2025-12-31,6812.63,-0.00532333492478565,-1.0,False,True,False,False,0
